goos: linux
goarch: amd64
pkg: github.com/petenewcomb/psg-go
cpu: Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=-1-8           	    2193	    576753 ns/op	         0.8362 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10409 p50-combine-duration-ns	     14607 p50-combine-latency-ns	     61533 p50-combine-workflow-latency-ns	     10286 p50-gather-duration-ns	    163707 p50-gather-latency-ns	     45119 p50-task-latency-ns	    248033 p50-workflow-latency-ns	         1.000 p99-combine-count	     51158 p99-combine-duration-ns	     74042 p99-combine-latency-ns	    749635 p99-combine-workflow-latency-ns	     35669 p99-gather-duration-ns	    761036 p99-gather-latency-ns	    735848 p99-task-latency-ns	    901867 p99-workflow-latency-ns	        22.68 tasks/op	     39316 tasks/sec	        16.00 tasks/top-level-task	      17 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=-1-8           	    2247	    551972 ns/op	         0.8297 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10408 p50-combine-duration-ns	     14840 p50-combine-latency-ns	     62413 p50-combine-workflow-latency-ns	     10286 p50-gather-duration-ns	    161515 p50-gather-latency-ns	     45510 p50-task-latency-ns	    246895 p50-workflow-latency-ns	         1.000 p99-combine-count	     51284 p99-combine-duration-ns	     81579 p99-combine-latency-ns	    748706 p99-combine-workflow-latency-ns	     35594 p99-gather-duration-ns	    758103 p99-gather-latency-ns	    734135 p99-task-latency-ns	    893380 p99-workflow-latency-ns	        21.48 tasks/op	     38907 tasks/sec	        16.00 tasks/top-level-task	     624 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=-1-8           	    2203	    579268 ns/op	         0.8403 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10407 p50-combine-duration-ns	     14587 p50-combine-latency-ns	     61308 p50-combine-workflow-latency-ns	     10287 p50-gather-duration-ns	    167907 p50-gather-latency-ns	     45084 p50-task-latency-ns	    250372 p50-workflow-latency-ns	         1.000 p99-combine-count	     51568 p99-combine-duration-ns	     56625 p99-combine-latency-ns	    747425 p99-combine-workflow-latency-ns	     35513 p99-gather-duration-ns	    727690 p99-gather-latency-ns	    733325 p99-task-latency-ns	    880360 p99-workflow-latency-ns	        22.93 tasks/op	     39582 tasks/sec	        16.00 tasks/top-level-task	       9 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=-1-8           	    2451	    565138 ns/op	         0.8395 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10408 p50-combine-duration-ns	     14733 p50-combine-latency-ns	     61624 p50-combine-workflow-latency-ns	     10286 p50-gather-duration-ns	    164952 p50-gather-latency-ns	     45049 p50-task-latency-ns	    249116 p50-workflow-latency-ns	         1.000 p99-combine-count	     51037 p99-combine-duration-ns	     68409 p99-combine-latency-ns	    744957 p99-combine-workflow-latency-ns	     35523 p99-gather-duration-ns	    733244 p99-gather-latency-ns	    730506 p99-task-latency-ns	    871038 p99-workflow-latency-ns	        22.32 tasks/op	     39494 tasks/sec	        16.00 tasks/top-level-task	      15 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=-1-8           	    2180	    557152 ns/op	         0.8377 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10408 p50-combine-duration-ns	     14662 p50-combine-latency-ns	     61690 p50-combine-workflow-latency-ns	     10290 p50-gather-duration-ns	    160400 p50-gather-latency-ns	     45089 p50-task-latency-ns	    243933 p50-workflow-latency-ns	         1.000 p99-combine-count	     50755 p99-combine-duration-ns	     78059 p99-combine-latency-ns	    747447 p99-combine-workflow-latency-ns	     35701 p99-gather-duration-ns	    740688 p99-gather-latency-ns	    733749 p99-task-latency-ns	    871689 p99-workflow-latency-ns	        21.98 tasks/op	     39450 tasks/sec	        15.99 tasks/top-level-task	       8 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=combine/combinerLimit=-1-8           	    2314	    574745 ns/op	         0.8361 avg-combiner-concurrency	         3.000 max-depth	     70000 max-nominal-workflow-duration-ns	         1.000 p01-combine-count	         1.000 p50-combine-count	     10409 p50-combine-duration-ns	     14688 p50-combine-latency-ns	     61737 p50-combine-workflow-latency-ns	     10287 p50-gather-duration-ns	    160580 p50-gather-latency-ns	     45259 p50-task-latency-ns	    245049 p50-workflow-latency-ns	         1.000 p99-combine-count	     50776 p99-combine-duration-ns	     75459 p99-combine-latency-ns	    746134 p99-combine-workflow-latency-ns	     35642 p99-gather-duration-ns	    754499 p99-gather-latency-ns	    732318 p99-task-latency-ns	    902075 p99-workflow-latency-ns	        22.63 tasks/op	     39376 tasks/sec	        16.00 tasks/top-level-task	      14 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-8         	   36076	     32144 ns/op	         0 max-depth	         0 max-nominal-workflow-duration-ns	     10296 p50-gather-duration-ns	      1254 p50-gather-latency-ns	      7512 p50-task-latency-ns	      8690 p50-workflow-latency-ns	     10599 p99-gather-duration-ns	      2114 p99-gather-latency-ns	     23618 p99-task-latency-ns	     24137 p99-workflow-latency-ns	         1.049 tasks/op	     32641 tasks/sec	         1.000 tasks/top-level-task	       0 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-8         	   35241	     34070 ns/op	         0 max-depth	         0 max-nominal-workflow-duration-ns	     10287 p50-gather-duration-ns	      1254 p50-gather-latency-ns	      8105 p50-task-latency-ns	      9264 p50-workflow-latency-ns	     10636 p99-gather-duration-ns	      2280 p99-gather-latency-ns	     25834 p99-task-latency-ns	     26336 p99-workflow-latency-ns	         1.077 tasks/op	     31597 tasks/sec	         1.000 tasks/top-level-task	       0 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-8         	   39782	     32881 ns/op	         0 max-depth	         0 max-nominal-workflow-duration-ns	     10282 p50-gather-duration-ns	      1233 p50-gather-latency-ns	      7779 p50-task-latency-ns	      8897 p50-workflow-latency-ns	     10617 p99-gather-duration-ns	      2111 p99-gather-latency-ns	     25389 p99-task-latency-ns	     25939 p99-workflow-latency-ns	         1.060 tasks/op	     32239 tasks/sec	         1.000 tasks/top-level-task	       0 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-8         	   37002	     32929 ns/op	         0 max-depth	         0 max-nominal-workflow-duration-ns	     10303 p50-gather-duration-ns	      1268 p50-gather-latency-ns	      7859 p50-task-latency-ns	      9089 p50-workflow-latency-ns	     10638 p99-gather-duration-ns	      2160 p99-gather-latency-ns	     24949 p99-task-latency-ns	     25465 p99-workflow-latency-ns	         1.043 tasks/op	     31682 tasks/sec	         1.000 tasks/top-level-task	       0 B/op	       0 allocs/op
BenchmarkCombinerThroughput/workload=processing/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-8         	   37286	     32790 ns/op	         0 max-depth	         0 max-nominal-workflow-duration-ns	     10295 p50-gather-duration-ns	      1259 p50-gather-latency-ns	      7831 p50-task-latency-ns	      9000 p50-workflow-latency-ns	     10638 p99-gather-duration-ns	      2218 p99-gather-latency-ns	     24855 p99-task-latency-ns	     25405 p99-workflow-latency-ns	         1.050 tasks/op	     32009 tasks/sec	         1.000 tasks/top-level-task	       0 B/op	       0 allocs/op
