goos: linux
goarch: amd64
pkg: github.com/petenewcomb/psg-go
cpu: 13th Gen Intel(R) Core(TM) i5-1345U
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   48268	    500249 ns/op	         0 p50-combine-duration-ns	   1069707 p50-combine-latency-ns	   1069707 p50-combine-workflow-latency-ns	     30598 p50-gather-duration-ns	       726.2 p50-gather-latency-ns	   1069707 p50-task-latency-ns	     30598 p50-workflow-duration-ns	   1070565 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  14479098 p99-combine-latency-ns	  14479098 p99-combine-workflow-latency-ns	   1127642 p99-gather-duration-ns	      1725 p99-gather-latency-ns	  14479098 p99-task-latency-ns	   1127642 p99-workflow-duration-ns	  14479745 p99-workflow-latency-ns	         1.982 tasks/op	      3961 tasks/sec	    1910 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   46708	    508287 ns/op	         0 p50-combine-duration-ns	   1093595 p50-combine-latency-ns	   1093595 p50-combine-workflow-latency-ns	     31384 p50-gather-duration-ns	       711.3 p50-gather-latency-ns	   1093595 p50-task-latency-ns	     31384 p50-workflow-duration-ns	   1094393 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  14631350 p99-combine-latency-ns	  14631350 p99-combine-workflow-latency-ns	   1127403 p99-gather-duration-ns	      1714 p99-gather-latency-ns	  14631350 p99-task-latency-ns	   1127403 p99-workflow-duration-ns	  14632022 p99-workflow-latency-ns	         1.982 tasks/op	      3899 tasks/sec	    1881 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   48444	    486185 ns/op	         0 p50-combine-duration-ns	   1060136 p50-combine-latency-ns	   1060136 p50-combine-workflow-latency-ns	     29163 p50-gather-duration-ns	       723.8 p50-gather-latency-ns	   1060136 p50-task-latency-ns	     29163 p50-workflow-duration-ns	   1061049 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  14120768 p99-combine-latency-ns	  14120768 p99-combine-workflow-latency-ns	   1124442 p99-gather-duration-ns	      1761 p99-gather-latency-ns	  14120768 p99-task-latency-ns	   1124442 p99-workflow-duration-ns	  14122812 p99-workflow-latency-ns	         1.980 tasks/op	      4074 tasks/sec	    1881 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   45417	    548792 ns/op	         0 p50-combine-duration-ns	   1139240 p50-combine-latency-ns	   1139240 p50-combine-workflow-latency-ns	     32400 p50-gather-duration-ns	       711.0 p50-gather-latency-ns	   1139240 p50-task-latency-ns	     32400 p50-workflow-duration-ns	   1140074 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  14294565 p99-combine-latency-ns	  14294565 p99-combine-workflow-latency-ns	   1134305 p99-gather-duration-ns	      1719 p99-gather-latency-ns	  14294565 p99-task-latency-ns	   1134305 p99-workflow-duration-ns	  14295185 p99-workflow-latency-ns	         1.982 tasks/op	      3612 tasks/sec	    1883 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   43540	    531081 ns/op	         0 p50-combine-duration-ns	   1133674 p50-combine-latency-ns	   1133674 p50-combine-workflow-latency-ns	     28992 p50-gather-duration-ns	       736.7 p50-gather-latency-ns	   1133674 p50-task-latency-ns	     28992 p50-workflow-duration-ns	   1134539 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11467719 p99-combine-latency-ns	  11467719 p99-combine-workflow-latency-ns	   1132746 p99-gather-duration-ns	      1704 p99-gather-latency-ns	  11467719 p99-task-latency-ns	   1132746 p99-workflow-duration-ns	  11468478 p99-workflow-latency-ns	         1.981 tasks/op	      3731 tasks/sec	    1881 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   43642	    549089 ns/op	         0 p50-combine-duration-ns	   1155302 p50-combine-latency-ns	   1155302 p50-combine-workflow-latency-ns	     31106 p50-gather-duration-ns	       732.0 p50-gather-latency-ns	   1155302 p50-task-latency-ns	     31106 p50-workflow-duration-ns	   1156184 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  12093769 p99-combine-latency-ns	  12093769 p99-combine-workflow-latency-ns	   1130788 p99-gather-duration-ns	      1740 p99-gather-latency-ns	  12093769 p99-task-latency-ns	   1130788 p99-workflow-duration-ns	  12094470 p99-workflow-latency-ns	         1.984 tasks/op	      3613 tasks/sec	    1883 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   44390	    537377 ns/op	         0 p50-combine-duration-ns	   1133988 p50-combine-latency-ns	   1133988 p50-combine-workflow-latency-ns	     29401 p50-gather-duration-ns	       730.7 p50-gather-latency-ns	   1133988 p50-task-latency-ns	     29401 p50-workflow-duration-ns	   1134831 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  12551210 p99-combine-latency-ns	  12551210 p99-combine-workflow-latency-ns	   1132783 p99-gather-duration-ns	      1728 p99-gather-latency-ns	  12551210 p99-task-latency-ns	   1132783 p99-workflow-duration-ns	  12552445 p99-workflow-latency-ns	         1.983 tasks/op	      3690 tasks/sec	    1882 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   44416	    535421 ns/op	         0 p50-combine-duration-ns	   1132364 p50-combine-latency-ns	   1132364 p50-combine-workflow-latency-ns	     29789 p50-gather-duration-ns	       736.8 p50-gather-latency-ns	   1132364 p50-task-latency-ns	     29789 p50-workflow-duration-ns	   1133175 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11783362 p99-combine-latency-ns	  11783362 p99-combine-workflow-latency-ns	   1136013 p99-gather-duration-ns	      1710 p99-gather-latency-ns	  11783362 p99-task-latency-ns	   1136013 p99-workflow-duration-ns	  11783990 p99-workflow-latency-ns	         1.983 tasks/op	      3704 tasks/sec	    1912 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   45506	    548955 ns/op	         0 p50-combine-duration-ns	   1141947 p50-combine-latency-ns	   1141947 p50-combine-workflow-latency-ns	     30227 p50-gather-duration-ns	       733.6 p50-gather-latency-ns	   1141947 p50-task-latency-ns	     30227 p50-workflow-duration-ns	   1142801 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11872687 p99-combine-latency-ns	  11872687 p99-combine-workflow-latency-ns	   1132534 p99-gather-duration-ns	      1741 p99-gather-latency-ns	  11872687 p99-task-latency-ns	   1132534 p99-workflow-duration-ns	  11872142 p99-workflow-latency-ns	         1.982 tasks/op	      3611 tasks/sec	    1911 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   42032	    553031 ns/op	         0 p50-combine-duration-ns	   1140475 p50-combine-latency-ns	   1140475 p50-combine-workflow-latency-ns	     31230 p50-gather-duration-ns	       733.7 p50-gather-latency-ns	   1140475 p50-task-latency-ns	     31230 p50-workflow-duration-ns	   1141307 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  10848354 p99-combine-latency-ns	  10848354 p99-combine-workflow-latency-ns	   1132780 p99-gather-duration-ns	      1782 p99-gather-latency-ns	  10848354 p99-task-latency-ns	   1132780 p99-workflow-duration-ns	  10848996 p99-workflow-latency-ns	         1.983 tasks/op	      3586 tasks/sec	    1914 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   44235	    548104 ns/op	         0 p50-combine-duration-ns	   1143406 p50-combine-latency-ns	   1143406 p50-combine-workflow-latency-ns	     31367 p50-gather-duration-ns	       719.3 p50-gather-latency-ns	   1143406 p50-task-latency-ns	     31367 p50-workflow-duration-ns	   1144227 p50-workflow-latency-ns	         0 p99-combine-duration-ns	 135992633 p99-combine-latency-ns	 135992633 p99-combine-workflow-latency-ns	   1131230 p99-gather-duration-ns	      1688 p99-gather-latency-ns	 135992633 p99-task-latency-ns	   1131230 p99-workflow-duration-ns	 135993233 p99-workflow-latency-ns	         1.982 tasks/op	      3617 tasks/sec	    1901 B/op	      50 allocs/op
BenchmarkCombinerThroughput/workload=waiting/duration=10µs/flushPeriod=10µs/method=gatherOnly/combinerLimit=0-12           	   45596	    520469 ns/op	         0 p50-combine-duration-ns	   1130443 p50-combine-latency-ns	   1130443 p50-combine-workflow-latency-ns	     28529 p50-gather-duration-ns	       723.2 p50-gather-latency-ns	   1130443 p50-task-latency-ns	     28529 p50-workflow-duration-ns	   1131253 p50-workflow-latency-ns	         0 p99-combine-duration-ns	  11098056 p99-combine-latency-ns	  11098056 p99-combine-workflow-latency-ns	   1130912 p99-gather-duration-ns	      1728 p99-gather-latency-ns	  11098056 p99-task-latency-ns	   1130912 p99-workflow-duration-ns	  11098711 p99-workflow-latency-ns	         1.982 tasks/op	      3809 tasks/sec	    1882 B/op	      50 allocs/op
